Year,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總計,月平均,正績效,負績效,大於 5%,大於 3%
2023,10.36,0.02,0.41,-5.09,5.70,3.18,2.55,-2.69,-1.51,-3.15,8.47,3.38,28.73,0.87,6.92,5.74,1.20,2.16
2022,-0.85,-2.53,0.05,-6.79,-0.58,-8.89,2.78,-1.39,-10.39,-4.06,15.97,-5.71,-22.53,-1.43,3.25,7.22,2.68,1.00
2021,5.34,2.20,-0.50,-0.60,-3.38,1.93,5.70,0.19,-2.18,2.36,0.84,3.43,17.36,0.52,7.20,4.16,1.99,3.03
2020,-3.54,-1.66,-14.15,10.13,3.79,1.48,9.10,2.39,-0.49,-2.13,14.92,6.86,32.27,0.87,7.90,4.63,2.42,7.76
2019,5.29,3.42,1.13,1.41,-4.10,5.48,0.04,1.00,0.67,5.94,1.55,3.86,31.53,3.43,12.26,1.15,2.19,6.52

